c2 -c -- -- -- -- 	cgfi
c2 -d -- -- -- -- 	cfi
c2 -e -- -- -- -- 	clgfi
c2 -f -- -- -- -- 	clfi
c4 -2 -- -- -- -- 	llhrl
c4 -4 -- -- -- -- 	lghrl
c4 -5 -- -- -- -- 	lhrl
c4 -6 -- -- -- -- 	llghrl
c4 -7 -- -- -- -- 	sthrl
c4 -8 -- -- -- -- 	lgrl
c4 -b -- -- -- -- 	stgrl
c4 -c -- -- -- -- 	lgfrl
c4 -d -- -- -- -- 	lrl
c4 -e -- -- -- -- 	llgfrl
c4 -f -- -- -- -- 	strl
c5 -- -- -- -- -- 	bprp
c6 -0 -- -- -- -- 	exrl
c6 -2 -- -- -- -- 	pfdrl
c6 -4 -- -- -- -- 	cghrl
c6 -5 -- -- -- -- 	chrl
c6 -6 -- -- -- -- 	clghrl
c6 -7 -- -- -- -- 	clhrl
c6 -8 -- -- -- -- 	cgrl
c6 -a -- -- -- -- 	clgrl
c6 -c -- -- -- -- 	cgfrl
c6 -d -- -- -- -- 	crl
c6 -e -- -- -- -- 	clgfrl
c6 -f -- -- -- -- 	clrl
c7 -0 -- -- -- -- 	bpp
c8 -0 -- -- -- -- 	mvcos
c8 -1 -- -- -- -- 	ectg
c8 -2 -- -- -- -- 	csst
c8 -4 -- -- -- -- 	lpd
c8 -5 -- -- -- -- 	lpdg
cc -6 -- -- -- -- 	brcth
cc -8 -- -- -- -- 	aih
cc -a -- -- -- -- 	alsih
cc -b -- -- -- -- 	alsihn
cc -d -- -- -- -- 	cih
cc -f -- -- -- -- 	clih
d0 -- -- -- -- -- 	trtr
d1 -- -- -- -- -- 	mvn
d2 -- -- -- -- -- 	mvc
d3 -- -- -- -- -- 	mvz
d4 -- -- -- -- -- 	nc
d5 -- -- -- -- -- 	clc
d6 -- -- -- -- -- 	oc
d7 -- -- -- -- -- 	xc
d9 -- -- -- -- -- 	mvck
da -- -- -- -- -- 	mvcp
db -- -- -- -- -- 	mvcs
dc -- -- -- -- -- 	tr
dd -- -- -- -- -- 	trt
de -- -- -- -- -- 	ed
df -- -- -- -- -- 	edmk
e1 -- -- -- -- -- 	pku
e2 -- -- -- -- -- 	unpku
e3 -- -- -- -- 02 	ltg
e3 -- -- -- -- 03 	lrag
e3 -- -- -- -- 04 	lg
e3 -- -- -- -- 06 	cvby
e3 -- -- -- -- 08 	ag
e3 -- -- -- -- 09 	sg
e3 -- -- -- -- 0a 	alg
e3 -- -- -- -- 0b 	slg
e3 -- -- -- -- 0c 	msg
e3 -- -- -- -- 0d 	dsg
e3 -- -- -- -- 0e 	cvbg
e3 -- -- -- -- 0f 	lrvg
e3 -- -- -- -- 12 	lt
e3 -- -- -- -- 13 	lray
e3 -- -- -- -- 14 	lgf
e3 -- -- -- -- 15 	lgh
e3 -- -- -- -- 16 	llgf
e3 -- -- -- -- 17 	llgt
e3 -- -- -- -- 18 	agf
e3 -- -- -- -- 19 	sgf
e3 -- -- -- -- 1a 	algf
e3 -- -- -- -- 1b 	slgf
e3 -- -- -- -- 1c 	msgf
e3 -- -- -- -- 1d 	dsgf
e3 -- -- -- -- 1e 	lrv
e3 -- -- -- -- 1f 	lrvh
e3 -- -- -- -- 20 	cg
e3 -- -- -- -- 21 	clg
e3 -- -- -- -- 24 	stg
e3 -- -- -- -- 25 	ntstg
e3 -- -- -- -- 26 	cvdy
e3 -- -- -- -- 2e 	cvdg
e3 -- -- -- -- 2f 	strvg
e3 -- -- -- -- 30 	cgf
e3 -- -- -- -- 31 	clgf
e3 -- -- -- -- 32 	ltgf
e3 -- -- -- -- 34 	cgh
e3 -- -- -- -- 36 	pfd
e3 -- -- -- -- 3e 	strv
e3 -- -- -- -- 3f 	strvh
e3 -- -- -- -- 46 	bctg
